지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,1965-01-01 00:00,-.8,,2,20,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 01:00,-.6,,2.8,20,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 02:00,-.8,,4,50,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 03:00,-.7,,3,50,59,3.4,-7.7,1000.8,1011.8,,,,,10,,Sc,,1000,,,-.9,.6,1.3,1.9,2.3
108,1965-01-01 04:00,,,1,50,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 05:00,-2.2,,2.3,50,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 06:00,-1.8,,2,50,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 07:00,,,2,70,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-01 08:00,,,0,0,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-01 09:00,-.8,,2,270,94,5.4,-1.7,1002.4,1013.4,0,,,2.3,10,,Ns,,400,,,-.1,.8,1.2,1.6,2.3
108,1965-01-01 10:00,-.8,,2.3,270,,,,,,.3,,,,,,,,,,,,,,,
108,1965-01-01 11:00,,,.7,270,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-01 12:00,.2,,5,270,,,,,,.9,,,,,,,,,,,,,,,
108,1965-01-01 13:00,,,7.3,340,,,,,,.8,,,,,,,,,,,,,,,
108,1965-01-01 14:00,,,6.7,270,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-01 15:00,-.3,,6.7,270,58,3.5,-7.5,1004.4,1015.4,1,,,,0,,,,2000,,,2.5,.6,1.3,1.8,2.2
108,1965-01-01 16:00,,,7.3,270,,,,,,.6,,,,,,,,,,,,,,,
108,1965-01-01 17:00,-1.6,,5,270,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-01 18:00,-2.8,,4.3,270,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-01 19:00,,,4.5,320,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 20:00,,,4,340,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 21:00,-4.7,,3.3,340,68,2.9,-9.7,1009.1,1020.4,,,,,0,,,,2000,,,-3.9,.5,1.3,1.7,2.1
108,1965-01-01 22:00,,,4.3,340,,,,,,,,,,,,,,,,,,,,,
108,1965-01-01 23:00,,,3,270,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 00:00,-5.6,,3.3,340,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 01:00,,,3,340,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 02:00,,,1.7,320,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 03:00,-7.3,,2,340,66,2.3,-12.5,1011.3,1022.6,,,,,0,,,,2000,,,-7.5,.2,1,1.5,2.1
108,1965-01-02 04:00,,,.8,340,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 05:00,-8.1,,.8,270,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 06:00,-8.2,,2,320,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 07:00,,,3,290,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-02 08:00,,,3,270,,,,,,.8,,,,,,,,,,,,,,,
108,1965-01-02 09:00,-8.1,,3,340,62,2.1,-14.2,1013.7,1025.1,1,,,,4,,Ci,,1000,,,-5.6,-.1,.8,1.5,2
108,1965-01-02 10:00,-7.1,,3.3,340,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-02 11:00,,,3.3,270,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-02 12:00,-4.8,,2.3,270,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-02 13:00,,,3,270,,,,,,.6,,,,,,,,,,,,,,,
108,1965-01-02 14:00,,,3,270,,,,,,.8,,,,,,,,,,,,,,,
108,1965-01-02 15:00,-3.4,,3.3,270,41,2,-14.7,1011.8,1023,1,,,,3,,Ac,,2000,,,1.8,0,.7,1.5,2
108,1965-01-02 16:00,,,3.3,340,,,,,,.4,,,,,,,,,,,,,,,
108,1965-01-02 17:00,-4.5,,4,270,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-02 18:00,-5,,2.7,340,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-02 19:00,,,3.7,340,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 20:00,,,2.3,270,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 21:00,-6.2,,2.7,340,50,2,-14.8,1013.4,1024.7,,,,,0,,,,2000,,,-6.4,-.2,.7,1.3,1.7
108,1965-01-02 22:00,,,1,250,,,,,,,,,,,,,,,,,,,,,
108,1965-01-02 23:00,,,1,340,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 00:00,-6.4,,.3,270,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 01:00,,,1,70,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 02:00,,,1,70,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 03:00,-6.7,,1.7,270,52,1.9,-15,1013,1024.3,,,,,0,,,,2000,,,-6.7,-.5,.6,1.2,1.6
108,1965-01-03 04:00,,,1.3,50,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 05:00,-7,,1.7,50,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 06:00,-7.5,,1,50,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 07:00,,,0,0,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-03 08:00,,,1,50,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-03 09:00,-7,,1.7,50,53,1.9,-15,1011.3,1022.6,.7,,,,2,,Cc,,1000,,,-5.9,-.7,.5,1.2,1.7
108,1965-01-03 10:00,-4.6,,2,50,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-03 11:00,,,2.7,320,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-03 12:00,-2.2,,2.3,90,,,,,,.6,,,,,,,,,,,,,,,
108,1965-01-03 13:00,,,2.7,90,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-03 14:00,,,2,180,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-03 15:00,-.1,,3.7,320,49,3,-9.4,1006.5,1017.5,0,,,.5,10,,ScNs,,400,,,1.1,-.2,.6,1.2,1.8
108,1965-01-03 16:00,,,2.3,160,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-03 17:00,-1.7,,2.3,250,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-03 18:00,-2.5,,2.8,270,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-03 19:00,,,7,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 20:00,,,4.7,270,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 21:00,-5.8,,5,290,50,2,-14.7,1011.1,1022.4,,,,,3,,Sc,,2000,,,-5.1,-.3,.5,1.2,1.7
108,1965-01-03 22:00,,,4.7,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-03 23:00,,,4.7,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 00:00,-8.2,,4.3,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 01:00,,,4.3,270,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 02:00,,,3.7,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 03:00,-10.6,,2.7,290,43,1.4,-18.7,1014.6,1026,,,,,0,,,,2000,,,-9.4,-1,.4,1,1.5
108,1965-01-04 04:00,-10.6,,2,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 05:00,-11.8,,1.3,160,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 06:00,-12,,2,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 07:00,,,3.7,290,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-04 08:00,,,2.7,360,,,,,,.7,,,,,,,,,,,,,,,
108,1965-01-04 09:00,-11.8,,.7,320,45,1.1,-21.3,1017,1028.6,1,,,,0,,,,1000,,,-9.2,-1.8,.1,1,1.5
108,1965-01-04 10:00,-10.7,,1.3,290,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-04 11:00,,,.7,270,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-04 12:00,-8.3,,.7,50,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-04 13:00,,,2,50,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-04 14:00,,,2.7,270,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-04 15:00,-6.3,,3.3,270,33,1.2,-20.7,1015.3,1026.7,1,,,,2,,Ci,,2000,,,.6,-.5,.2,1,1.5
108,1965-01-04 16:00,,,4.3,270,,,,,,1,,,,,,,,,,,,,,,
108,1965-01-04 17:00,-7.3,,2.3,290,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-04 18:00,-8.1,,2.7,270,,,,,,0,,,,,,,,,,,,,,,
108,1965-01-04 19:00,,,1.7,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 20:00,,,1.3,360,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 21:00,-8.5,,1.7,270,58,1.9,-15.3,1016.6,1028,,,,,0,,,,2000,,,-8.5,-1.6,0,.8,1.4
108,1965-01-04 22:00,,,1.3,230,,,,,,,,,,,,,,,,,,,,,
108,1965-01-04 23:00,,,2.5,290,,,,,,,,,,,,,,,,,,,,,
108,1965-01-05 00:00,-9.7,,1,250,,,,,,,,,,,,,,,,,,,,,
